id,authority,url,host,status,cdn,err
nber-data,research,https://www.nber.org,www.nber.org,200,fastly,
drugbank,research,https://go.drugbank.com,go.drugbank.com,403,cloudflare,
alphafold-db,international,https://alphafold.com,alphafold.com,200,unknown,
ieee-xplore,research,https://ieeexplore.ieee.org,ieeexplore.ieee.org,420,cloudfront,
uk-biobank,research,https://www.ukbiobank.ac.uk/,www.ukbiobank.ac.uk,403,cloudflare,
ghdx,research,https://ghdx.healthdata.org/,ghdx.healthdata.org,200,cloudflare,
china-sac,other,https://www.sac.net.cn/hysj/,www.sac.net.cn,567,unknown,
clinicaltrials-gov,government,https://clinicaltrials.gov/,clinicaltrials.gov,200,unknown,
china-csdc,other,https://www.chinaclear.cn/zdjs/tjyb/center_tjbg.shtml,www.chinaclear.cn,0,unknown,
pubmed,government,https://pubmed.ncbi.nlm.nih.gov/,pubmed.ncbi.nlm.nih.gov,200,origin,
intl-chemspider,international,https://www.chemspider.com,www.chemspider.com,403,cloudfront,
intl-rcsb-pdb,research,https://www.rcsb.org,www.rcsb.org,200,unknown,
copernicus-open-access-hub,international,https://dataspace.copernicus.eu/,dataspace.copernicus.eu,0,unknown,
bis-statistics,government,https://data.bis.org/,data.bis.org,200,unknown,
ggdc-databases,research,https://www.rug.nl/ggdc/,www.rug.nl,200,unknown,
china-nea,government,https://www.nea.gov.cn/sjzz/,www.nea.gov.cn,200,unknown,
penn-world-table,research,https://www.rug.nl/ggdc/productivity/pwt/,www.rug.nl,200,unknown,
china-shenzhen-housing,government,https://zjj.sz.gov.cn/xxgk/,zjj.sz.gov.cn,200,unknown,
asian-barometer,research,https://asianbarometer.org,asianbarometer.org,200,origin,
chembl,research,https://www.ebi.ac.uk/chembl/,www.ebi.ac.uk,200,origin,
pubchem,government,https://pubchem.ncbi.nlm.nih.gov/,pubchem.ncbi.nlm.nih.gov,200,origin,
china-gpai,commercial,https://www.gpai.net/sf/,www.gpai.net,0,unknown,
us-ncbi-genbank,government,https://www.ncbi.nlm.nih.gov/genbank/,www.ncbi.nlm.nih.gov,200,origin,
afrobarometer,research,https://www.afrobarometer.org/data/,www.afrobarometer.org,200,origin,
owid,research,https://github.com/owid/owid-datasets,github.com,200,unknown,
china-beike-research,market,https://research.ke.com,research.ke.com,200,unknown,
tcga,government,https://portal.gdc.cancer.gov/,portal.gdc.cancer.gov,200,origin,
cninfo,government,https://www.cninfo.com.cn/new/commonUrl?url=disclosure/list/search,www.cninfo.com.cn,200,origin,
cern-open-data,research,https://opendata.cern.ch/,opendata.cern.ch,200,origin,
acad-cod,research,https://www.crystallography.net/cod/,www.crystallography.net,200,origin,
china-ccia,other,http://www.zgjzy.org.cn/newsList/11/1.html,www.zgjzy.org.cn,200,origin,
china-acfic,other,https://www.acfic.org.cn/myjjsj/,www.acfic.org.cn,200,origin,
1000-genomes,research,https://www.internationalgenome.org/,www.internationalgenome.org,200,unknown,
dhs,international,https://dhsprogram.com/,dhsprogram.com,200,origin,
china-ndrc,government,https://www.ndrc.gov.cn/fgsj/,www.ndrc.gov.cn,405,unknown,
china-ndrc-computing,government,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202312/t20231229_1363000.html,www.ndrc.gov.cn,405,unknown,
china-cada,other,http://data.cada.cn/main/overview.do,data.cada.cn,200,unknown,
